0	0	49.06	49.49
0	1	50.36	48.94
0	2	50.83	49.79
0	3	54.32	49.29
0	4	50.15	49.24
0	5	56.33	49.23
0	6	60.86	50.52
0	7	58.60	49.23
0	8	59.88	53.63
0	9	56.13	57.91
0	10	75.58	60.89
0	11	55.37	54.99
0	12	55.33	57.10
0	13	53.70	58.61
0	14	54.54	56.37
1	14	53.82	55.13
1	13	53.54	55.47
1	12	53.49	55.32
1	11	55.44	58.52
1	10	54.64	57.47
1	9	54.74	57.37
1	8	57.07	64.41
1	7	57.56	59.20
1	6	58.16	60.93
1	5	63.22	65.07
1	4	63.61	65.26
1	3	65.43	67.13
1	2	61.11	59.93
1	1	59.64	59.08
1	0	60.09	60.05
2	0	51.11	56.23
2	1	50.02	52.18
2	2	48.88	49.92
2	3	49.90	51.47
2	4	48.44	49.75
2	5	49.22	48.54
2	6	52.04	49.49
2	7	53.28	49.02
2	8	54.56	53.06
2	9	53.82	53.76
2	10	53.92	53.80
2	11	52.49	52.85
2	12	52.43	53.79
2	13	52.64	53.17
2	14	51.82	52.26
3	14	52.82	53.43
3	13	52.80	52.74
3	12	53.59	54.35
3	11	54.16	54.14
3	10	54.34	55.17
3	9	53.94	55.55
3	8	49.59	51.82
3	7	49.99	49.97
3	6	58.30	50.24
3	5	54.71	50.20
3	4	49.83	50.87
3	3	49.11	50.10
3	2	50.24	54.07
3	1	50.02	58.28
3	0	50.57	54.91
4	0	55.06	60.63
4	1	59.16	59.32
4	2	59.99	60.34
4	3	58.45	59.69
4	4	50.51	50.31
4	5	55.48	52.53
4	6	58.05	51.44
4	7	54.34	54.22
4	8	54.34	53.90
4	9	54.50	55.64
4	10	54.90	56.33
4	11	54.52	54.34
4	12	53.70	54.59
4	13	53.45	53.69
4	14	53.34	53.40
5	14	53.36	53.78
5	13	52.68	54.30
5	12	54.03	55.37
5	11	54.03	57.76
5	10	55.55	53.11
5	9	53.51	57.35
5	8	53.99	60.28
5	7	55.67	60.11
5	6	50.74	57.55
5	5	50.27	50.60
5	4	54.67	57.22
5	3	58.17	60.09
5	2	59.76	60.14
5	1	58.58	60.43
5	0	58.66	61.10
6	0	58.90	58.55
6	1	57.93	61.21
6	2	59.20	58.20
6	3	52.71	58.94
6	4	51.54	57.43
6	5	57.07	58.89
6	6	54.78	58.49
6	7	55.54	59.72
6	8	54.27	56.30
6	9	55.90	56.19
6	10	54.28	56.82
6	11	55.16	56.22
6	12	53.72	52.85
6	13	53.94	53.76
6	14	53.74	54.06
7	14	53.14	54.12
7	13	52.45	54.71
7	12	54.59	54.77
7	11	53.36	55.59
7	10	55.07	55.72
7	9	53.46	54.52
7	8	55.63	58.61
7	7	56.10	59.07
7	6	56.84	58.14
7	5	60.84	60.23
7	4	58.53	60.52
7	3	57.53	59.82
7	2	59.62	61.27
7	1	59.45	59.72
7	0	59.66	60.51
8	0	60.01	60.28
8	1	61.69	61.67
8	2	61.68	59.82
8	3	59.53	59.38
8	4	60.64	62.61
8	5	57.97	60.15
8	6	58.81	59.53
8	7	57.42	58.63
8	8	54.59	57.13
8	9	55.83	57.71
8	10	54.24	57.60
8	11	54.90	54.95
8	12	52.39	55.20
8	13	52.44	54.86
8	14	54.74	55.56
9	14	53.65	55.85
9	13	54.36	54.90
9	12	55.06	55.07
9	11	50.67	52.33
9	10	54.07	50.19
9	9	50.62	52.27
9	8	53.89	57.63
9	7	50.13	57.68
9	6	50.66	61.02
9	5	54.33	59.52
9	4	58.39	59.03
9	3	57.96	56.75
9	2	59.51	59.20
9	1	59.49	53.87
9	0	60.16	60.53
10	0	53.88	57.72
10	1	57.57	56.53
10	2	57.01	59.08
10	3	57.68	57.66
10	4	52.89	50.93
10	5	56.41	55.00
10	6	57.72	57.20
10	7	56.10	55.30
10	8	55.80	52.32
10	9	55.88	53.82
10	10	53.05	54.80
10	11	51.18	53.01
10	12	53.86	52.24
10	13	54.53	53.24
10	14	53.36	53.72
11	14	54.74	52.24
11	13	54.66	51.01
11	12	55.64	51.60
11	11	53.14	51.67
11	10	52.94	55.82
11	9	51.25	59.13
11	8	52.01	61.31
11	7	55.28	60.39
11	6	58.77	58.47
11	5	55.33	56.84
11	4	60.18	58.55
11	3	52.98	57.11
11	2	57.05	58.44
11	1	57.20	57.68
11	0	58.73	58.70
12	0	58.65	58.78
12	1	58.45	57.47
12	2	56.90	59.18
12	3	52.10	56.99
12	4	58.99	59.57
12	5	60.64	56.17
12	6	60.95	58.88
12	7	54.40	53.05
12	8	54.06	55.25
12	9	55.56	51.92
12	10	54.49	51.89
12	11	58.03	52.57
12	12	55.55	57.24
12	13	54.75	56.26
12	14	53.55	58.46
13	14	59.93	52.71
13	13	54.98	57.52
13	12	55.56	61.63
13	11	55.41	54.72
13	10	58.53	52.79
13	9	58.69	60.84
13	8	56.47	60.07
13	7	55.13	59.39
13	6	56.84	56.01
13	5	62.28	56.50
13	4	61.30	58.43
13	3	62.93	58.41
13	2	59.43	58.66
13	1	56.87	57.30
13	0	56.72	58.67
